"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1209,"SHIP CONSTRUCTION TURNKEY","Offaly","Frankford, Kilcormac",12,"*N/A","","","","","","Q4-2018"
1210,"SHIP CONSTRUCTION TURNKEY","Offaly","McGregol, Birr (Phase 1)",4,"*N/A","","","","","Q1-2019",""
1211,"CALF Construction","Offaly","Kearney�s Field, Tullamore, Co. Offaly (Phase 1)",41,"Oaklee Housing","","","","Q2-2019","",""
1212,"SHIP CONSTRUCTION","Roscommon","Cloonfad",3,"*N/A","","","Stage 3 approved Q2-2019, the scheme is now approved to proceed to tender.","","",""
1213,"SHIP CONSTRUCTION","Roscommon","Greenfields, Blackstick Road, Roscommon Town",6,"*N/A","","","","","","Q3-2017"
1214,"SHIP CONSTRUCTION","Roscommon","River Oaks, Ballaghaderreen",10,"*N/A","","","","","","Q4-2017"
1215,"SHIP CONSTRUCTION","Roscommon","Silveroe Meadows, Boyle",12,"*N/A","","","Stage 3 approved Q2-2019, the scheme is now approved to proceed to tender.","","",""
1216,"SHIP CONSTRUCTION","Roscommon","Cluain Fraoigh, Cloonbeirne",7,"*N/A","","","Stage 3 approved Q2-2019, the scheme is now approved to proceed to tender.","","",""
1217,"SHIP CONSTRUCTION","Roscommon","Old Tuam Road,  Monksland, Athlone",2,"*N/A","","","Stage 3 approved Q2-2019, the scheme is now approved to proceed to tender.","","",""
1218,"SHIP CONSTRUCTION","Roscommon","Longford TD, Castlerea",6,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
1219,"SHIP CONSTRUCTION","Roscommon","Monksland, Athlone, Co-Roscommon",50,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
1220,"SHIP CONSTRUCTION","Roscommon","Meadowbrook, Ballyclare Td., Ballyleague, Co. Roscommon",18,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
1221,"SHIP CONSTRUCTION","Roscommon","Lisroyne Td., Strokestown",8,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
1222,"SHIP CONSTRUCTION TURNKEY","Roscommon","Monksland, Athlone",10,"*N/A","","","","","","Q3-2018"
1223,"SHIP CONSTRUCTION TURNKEY","Roscommon","Station Road, Termon, Boyle",10,"*N/A","","","","","","Q1-2019"
1224,"SHIP CONSTRUCTION TURNKEY","Roscommon","Lisroyne Court, Strokestown",10,"*N/A","","","","","Q3-2018",""
1225,"SHIP CONSTRUCTION TURNKEY","Roscommon","Warren Grove, Boyle",4,"*N/A","","","","","","Q4-2018"
1226,"CALF Turnkey","Roscommon","Castle View Apartments, Block A, Roscommon Town (Phase 1)",10,"Co-operative Housing Ireland","","","","","Q2-2019",""
1227,"CALF Turnkey","Roscommon","Castle View Apartments, Block B, Roscommon Town (Phase 1)",10,"Co-operative Housing Ireland","","","","","Q3-2018",""
1228,"CALF Turnkey","Roscommon","Revised - Monksfield Park, Bealnamulla, Athlone (Phase 1)",13,"Cluid Housing","","","","","","Q3-2018"
1229,"CALF Turnkey","Roscommon","River Oaks, Kilcolman, Ballaghaderreen, Co. Roscommon (Phase 1)",12,"Respond","","","","","","Q1-2018"
1230,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Roscommon","The Walk, Roscommon Town",53,"*N/A","","","Q1-2018","","",""
