No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed,,,,,,,,,,,,,
742,CAS CONSTRUCTION,Dublin City,"55B Arbour Hill, Dublin 7",14,Simon Community : Dublin Simon,,,"Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
743,CAS CONSTRUCTION,Dublin City,"St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,Circle Voluntary Housing Association Ltd,,,"Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
744,CAS CONSTRUCTION,Dublin City,"Shaw Street, Dublin 2",12,Peter McVerry Trust Ltd,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
745,CAS CONSTRUCTION,Dublin City,"13A Casement Drive, Finglas, Dublin 11",2,Arlington Novas Ireland Ltd,,,,,Q4-2021,,,,,,,,,,,,,,
746,CAS CONSTRUCTION,Dublin City,"Sarsfield Road, Ballyfermot, Dublin 10",6,Respond,"Stage 1 approved Q1-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
747,CAS CONSTRUCTION,Dublin City,25-26 Ushers Island Ushers Quay Dublin 8,0,Simon Community : Dublin Simon,,,,,Q4-2021,,,,,,,,,,,,,,
748,CAS CONSTRUCTION,Dublin City,"53a Keeper Road, Drimnagh, Dublin 12",9,Respond,"Stage 1 approved Q4-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
749,CAS CONSTRUCTION,Dublin City,"Barnamore Grove, Finglas, Dublin 11",2,Arlington Novas Ireland Ltd,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
750,CAS CONSTRUCTION,Dublin City,"Berryfield Drive, Finglas, Dublin 11",10,Arlington Novas Ireland Ltd,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
751,CAS CONSTRUCTION,Dublin City,"5-7 Halston Street, Dublin 7",12,Peter McVerry Trust Ltd,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
752,CAS CONSTRUCTION,Dublin City,"307a Casement Road, Finglas, Dublin 11",1,Arlington Novas Ireland Ltd,,"Stage 2 approved Q3-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
753,CALF Turnkey,Dublin City,"25-27 Bow Lane West, Dublin 8 (Phase 1)",27,Focus Housing Association CLG,,,,Q1-2022,,,,,,,,,,,,,,,
754,CALF Construction,Dublin City,"3 units, Block A Jamestown Court, Dublin 8 (Phase 1)",3,ALONE,,,,,,Q4-2020,,,,,,,,,,,,,
755,CALF Turnkey,Dublin City,"9 units Dorset Street, Dublin 1 (Phase 1)",9,Clanmil Housing Association Ireland,,,,,,Q4-2020,,,,,,,,,,,,,
756,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 1)",14,Tuath Housing Association,,,,,,Q4-2016,,,,,,,,,,,,,
757,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 2)",21,Tuath Housing Association,,,,,,Q1-2017,,,,,,,,,,,,,
758,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 3)",10,Tuath Housing Association,,,,,,Q2-2017,,,,,,,,,,,,,
759,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 4)",3,Tuath Housing Association,,,,,,Q3-2017,,,,,,,,,,,,,
760,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 5)",1,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
761,CALF Construction,Dublin City,"Annamore Court, Ballyfermot (Phase 1)",70,The Iveagh Trust,,,,,,Q2-2017,,,,,,,,,,,,,
762,CALF Turnkey,Dublin City,"Aughrim Street, Stoneybatter, Dublin 7 (Phase 1)",4,Clanmil Housing Association Ireland,,,,,,Q2-2021,,,,,,,,,,,,,
763,CALF Turnkey,Dublin City,"Balfe Road, Crumlin, Dublin 12 (Phase 1)*",16,Respond,,,,,,Q4-2018,,,,,,,,,,,,,
764,CALF Construction,Dublin City, Ballygall Road East Phase 2 (Phase 1),11,Fold Housing Association Ireland Ltd,,,,,,Q1-2016,,,,,,,,,,,,,
765,CALF Construction,Dublin City,"Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",62,Clúid Housing,,,,,Q4-2021,,,,,,,,,,,,,,
766,CALF Turnkey,Dublin City,"Blackbanks View, 754 Howth Road, Raheny, Dublin 5 (Phase 1)*",40,Clúid Housing,,,,,,Q1-2021,,,,,,,,,,,,,
767,CALF Turnkey,Dublin City,"Block A Northbank, Castleforbes, Dublin 1  (Phase 1)*",26,Tuath Housing Association,,,,,,Q2-2018,,,,,,,,,,,,,
768,CALF Construction,Dublin City,"Block A, Jamestown Court, Dublin 8 (Phase 1)",9,ALONE,,,,,,Q4-2020,,,,,,,,,,,,,
769,CALF Turnkey,Dublin City,"Bluebell Avenue, Bluebell, Dublin 12 (Phase 1)*",52,Respond,,,,,Q4-2019,,,,,,,,,,,,,,
770,CALF Turnkey,Dublin City,"Bluebell Avenue, Dublin 12 (Phase 1)",7,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
771,CALF Construction,Dublin City,"Broome Lodge,
Dunmanus Court, Cabra (Phase 1)",33,Clúid Housing,,,,,,Q4-2017,,,,,,,,,,,,,
772,CALF Turnkey,Dublin City,"Camac Park, Bluebell, Dublin 12 (Phase 1)",5,Tuath Housing Association,,,,,,Q2-2020,,,,,,,,,,,,,
773,CALF Turnkey,Dublin City,"Camac Park, Bluebell, Dublin 12 (Phase 1)",3,Tuath Housing Association,,,,,,Q4-2021,,,,,,,,,,,,,
774,CALF Turnkey,Dublin City,"Canal Meadows, Bluebell, Dublin 12 (Phase 1)",4,Tuath Housing Association,,,,,,Q1-2019,,,,,,,,,,,,,
775,CALF Turnkey,Dublin City,"Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)*",16,Respond,,,,,,Q4-2017,,,,,,,,,,,,,
776,CALF Turnkey,Dublin City,"Chanel Manor Apartments, Coolock, Dublin 5. (Phase 1)*",65,Respond,,,,,Q2-2019,,,,,,,,,,,,,,
777,CALF Turnkey,Dublin City,"Chanel Manor, Coolock, Dublin 5 (Phase 1)*",22,Respond,,,,,Q4-2020,,,,,,,,,,,,,,
778,CALF Turnkey,Dublin City,"Clongriffin, Dublin 13 (Phase 1)*",84,The Iveagh Trust,,,,,,Q2-2019,,,,,,,,,,,,,
779,CALF Turnkey,Dublin City,"Connaught Street, Phibsborough, Dublin 7 (Phase 1)",20,Focus Housing Association CLG,,,,,Q2-2021,,,,,,,,,,,,,,
780,CALF Turnkey,Dublin City,"Cromwellsfort Court, Cromwellsfort Road, Walkinstown, Dublin 12 (Phase 1)*",12,Oaklee Housing,,,,,,Q3-2020,,,,,,,,,,,,,
781,CALF Turnkey,Dublin City,"Crumlin Village, Dublin 12 (Phase 1)",3,Clúid Housing,,,,,,Q2-2017,,,,,,,,,,,,,
782,CALF Turnkey,Dublin City,"Crumlin Village, Dublin 12 (Phase 2)",2,Clúid Housing,,,,,,Q3-2017,,,,,,,,,,,,,
783,CALF Construction,Dublin City,"Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,Fold Housing Association Ireland Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
784,CALF Turnkey,Dublin City,"Donnybrook Gardens, Lands of Greenfield Park, Donnybrook, Dublin 4 (Phase 1)*",4,RHD Housing,,,,,,Q2-2021,,,,,,,,,,,,,
785,CALF Turnkey,Dublin City,"Elanora Court, Long Mile Road, Walkinstown, Dublin 12 (Phase 1)*",153,Respond,,,,,Q3-2020,,,,,,,,,,,,,,
786,CALF Construction,Dublin City,"Harolds Cross, Dublin 6 (Phase 1)",28,Focus Housing Association CLG,,,,,,Q4-2016,,,,,,,,,,,,,
787,CALF Turnkey,Dublin City,"Lough Conn Road, Ballyfermot, Dublin 10 (Phase 1)",1,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
788,CALF Turnkey,Dublin City,"Lough Conn Road, Ballyfermot, Dublin 10 (Phase 2)",4,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
789,CALF Turnkey,Dublin City,"Merville Court, Merville Avenue, Fairview (Phase 1)",5,Co - Operative Housing Ireland Society Limited,,,,,,Q1-2017,,,,,,,,,,,,,
790,CALF Turnkey,Dublin City,"Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,Clúid Housing,,,,,,Q4-2017,,,,,,,,,,,,,
791,CALF Turnkey,Dublin City,"Mountjoy Square North, Dublin 1 (Phase 1)",31,Respond,,,,,,Q4-2019,,,,,,,,,,,,,
792,CALF Turnkey,Dublin City,Newtown Cottages Malahide Road Coolock Dublin 17 (Phase 1),3,Clanmil Housing Association Ireland,,,,,Q3-2020,,,,,,,,,,,,,,
793,CALF Construction,Dublin City,"North Great Charles Street, Dublin 1 (Phase 1)",52,Clúid Housing,,,,Q4-2021,,,,,,,,,,,,,,,
794,CALF Construction,Dublin City,"North King Street, Dublin 7  (Phase 1)",30,Co - Operative Housing Ireland Society Limited,,,,,Q4-2019,,,,,,,,,,,,,,
795,CALF Turnkey,Dublin City,"Old School House Lane, Magenta Crescent, Santry, Dublin 9 (Phase 1)",8,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
796,CALF Construction,Dublin City,"Orchard Lawns, Ballyfermot (Phase 1)",36,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2018,,,,,,,,,,,,,
797,CALF Construction,Dublin City,"Orchard Lawns, Ballyfermot (Phase 2)",36,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2018,,,,,,,,,,,,,
798,CALF Turnkey,Dublin City,"Park West Campus, Kileen Road, Dublin 12 (Phase 1)",41,Tuath Housing Association,,,,,Q4-2020,,,,,,,,,,,,,,
799,CALF Construction,Dublin City,"Post Tender - Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,Clúid Housing,,,,,,Q4-2019,,,,,,,,,,,,,
800,CALF Construction,Dublin City,Post Tender Johns Lane West Dublin 8 (Phase 1),31,Focus Housing Association CLG,,,,,,Q4-2018,,,,,,,,,,,,,
801,CALF Construction,Dublin City,"POST TENDER, Poplar Row, Ballybough, Dublin 3 (Phase 1)",29,Oaklee Housing,,,,,,Q4-2019,,,,,,,,,,,,,
802,CALF Turnkey,Dublin City,"Ravensdale Court, Kimmage, Dublin 12. (Phase 1)",12,Tuath Housing Association,,,,,Q4-2020,,,,,,,,,,,,,,
803,CALF Construction,Dublin City,"Revised - Dominic Place, Dublin (Phase 1)",9,The Paddy McGrath Housing Project,,,,,,Q3-2020,,,,,,,,,,,,,
804,CALF Construction,Dublin City,"Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
805,CALF Construction,Dublin City,"Revised, St Mary’s Mansions, Dublin 1 (Phase 1)",80,Clúid Housing,,,,,,Q4-2019,,,,,,,,,,,,,
806,CALF Construction,Dublin City,"Richmond Road, Dublin 9 (Phase 1)",40,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2018,,,,,,,,,,,,,
807,CALF Turnkey,Dublin City,"Royal Canal Crescent, Rathborne Park, Rathborne, Dublin15 (Phase 1)*",16,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
808,CALF Turnkey,Dublin City,"Royal Canal Park, Ashtown, Dublin 15 (Phase 1)*",46,Respond,,,,,,Q4-2020,,,,,,,,,,,,,
809,CALF Construction,Dublin City,"Sean Mc Dermott Street, Dublin 1 (Phase 1)",8,Simon Community: Dublin Simon,,,,Q1-2022,,,,,,,,,,,,,,,
810,CALF Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",44,Fold Housing Association Ireland Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
811,CALF Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",6,Fold Housing Association Ireland Ltd,,,,,,Q4-2020,,,,,,,,,,,,,
812,CALF Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 2)",42,Fold Housing Association Ireland Ltd,,,,,,Q2-2020,,,,,,,,,,,,,
813,CALF Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 3)",11,Fold Housing Association Ireland Ltd,,,,,,Q4-2020,,,,,,,,,,,,,
814,CALF Turnkey,Dublin City,"St Canice’s Hall, Ballygall Road West, Finglas, Dublin 11 (Phase 1)*",32,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021,,,,,,,,,,,,,
815,CALF Turnkey,Dublin City,"Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,Oaklee Housing,,,,,,Q3-2018,,,,,,,,,,,,,
816,CALF Turnkey,Dublin City,"Sundrive Mews, Kimmage, Dublin 12 (Phase 1)",9,Clúid Housing,,,,,,Q4-2019,,,,,,,,,,,,,
817,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 1)",28,Tuath Housing Association,,,,,,Q2-2016,,,,,,,,,,,,,
818,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 2)",18,Tuath Housing Association,,,,,,Q4-2016,,,,,,,,,,,,,
819,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 3)",14,Tuath Housing Association,,,,,,Q1-2017,,,,,,,,,,,,,
820,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 4)",8,Tuath Housing Association,,,,,,Q1-2017,,,,,,,,,,,,,
821,CALF Turnkey,Dublin City,"Tonlegee Road, Dublin 5  (Phase 1)",47,Fold Housing Association Ireland Ltd,,,,,,Q4-2018,,,,,,,,,,,,,
822,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Dublin City,"Ayrfield, Malahide Road",150,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
823,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Dublin City,Scribblestown,70,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
824,PUBLIC PRIVATE PARTNERSHIP (Bundle 3),Dublin City,"Ready Mix Site, East Wall, Dublin 3",68,*N/A,,Q4-2021,,,,,,,,,,,,,,,,,
825,PUBLIC PRIVATE PARTNERSHIP (Bundle 3),Dublin City,"Shangan Road, Ballymun, Dublin 9*",93,*N/A,,Q4-2021,,,,,,,,,,,,,,,,,
826,PUBLIC PRIVATE PARTNERSHIP (Bundle 3),Dublin City,"Collins Avenue, Whitehall, Dublin 9",83,*N/A,,Q4-2021,,,,,,,,,,,,,,,,,
827,SHIP DIALOG,Fingal,"Ballymastone, Donabate",30,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
828,SHIP DIALOG,Fingal,"Ballymastone, Donabate",40,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
829,SHIP DIALOG,Fingal,"Ballymastone, Donabate",40,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
830,SHIP DIALOG,Fingal,"Ballymastone, Donabate",30,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
831,SHIP CONSTRUCTION TURNKEY,Fingal,"Blackmills Grove, Blakestown Road, Mulhuddard",10,*N/A,,,,,,Q2-2017,,,,,,,,,,,,,
832,SHIP CONSTRUCTION TURNKEY,Fingal,"Balgriffin Grove, Malahide Road, Balgriffin",6,*N/A,,,,,,Q1-2017,,,,,,,,,,,,,
833,SHIP CONSTRUCTION TURNKEY,Fingal,"Hansfield, Ongar, Dublin 15",36,*N/A,,,,,,Q3-2017,,,,,,,,,,,,,
834,SHIP CONSTRUCTION TURNKEY,Fingal,"Hansfield, Ongar, Dublin 15",16,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
835,SHIP CONSTRUCTION TURNKEY,Fingal,"Hansfield, Ongar, Dublin 15",16,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
836,SHIP CONSTRUCTION TURNKEY,Fingal,"Ravenswood, North Road, Finglas",2,Peter McVerry Trust Ltd,,,,,,Q4-2018,,,,,,,,,,,,,
837,SHIP CONSTRUCTION TURNKEY,Fingal,"Boroimhe, Swords",6,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
838,SHIP CONSTRUCTION TURNKEY,Fingal,"Cnoc Dubh, Ballyboughal",6,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
839,SHIP CONSTRUCTION TURNKEY,Fingal,"Kenure Gate, Park Road, Rush",4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
840,SHIP CONSTRUCTION TURNKEY,Fingal,"Glaslinn, Donabate",3,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
841,SHIP CONSTRUCTION TURNKEY,Fingal,"Bremore Pastures Park, Balbriggan",4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
842,SHIP CONSTRUCTION TURNKEY,Fingal,"Northwood Green, Santry, Dublin 9",37,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
843,SHIP CONSTRUCTION TURNKEY,Fingal,Hollytown Cottages,4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
844,SHIP CONSTRUCTION TURNKEY,Fingal,Cnoc Dubh Ballyboughal Co. Dublin,5,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
845,SHIP CONSTRUCTION TURNKEY,Fingal,"Rahillion, Donabate",1,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
846,SHIP CONSTRUCTION TURNKEY,Fingal,"Bay Meadows Avenue/Square, Hollystown Dublin 15",12,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
847,SHIP CONSTRUCTION TURNKEY,Fingal,"Bay Meadows, Hollystown, Dublin 15",10,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
848,SHIP CONSTRUCTION TURNKEY,Fingal,"Killhedge Lane, Dun Emer, Lusk",7,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
849,SHIP CONSTRUCTION SINGLE STAGE,Fingal,"Outlands, Rathbeale Road, Swords",11,*N/A,,,,"Stage 4 approved Q3-2019, the scheme is fully approved.",,,,,,,,,,,,,,,
850,SHIP CONSTRUCTION RAPID,Fingal,"Avondale, Mulhuddart, Dublin 15",42,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
851,SHIP CONSTRUCTION RAPID,Fingal,"Pinewood, Balbriggan",20,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
852,SHIP CONSTRUCTION RAPID,Fingal,"Wellview, Mulhuddart",20,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
853,SHIP CONSTRUCTION RAPID,Fingal,"Church Road, Mulhuddart, Dublin 15",22,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
854,SHIP CONSTRUCTION RAPID,Fingal,"Church Fields, Phase 2B, Mulhuddart, Dublin 15.",67,*N/A,,,,,Q4-2021,,,,,,,,,,,,,,
855,SHIP CONSTRUCTION,Fingal,"Rivermeade, St. Margarets",2,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
856,SHIP CONSTRUCTION,Fingal,Rowlestown,10,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
857,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk",5,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
858,SHIP CONSTRUCTION,Fingal,"Castlelands, Park View, Balbriggan (Phase 3)",24,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
859,SHIP CONSTRUCTION,Fingal,"Rathbeale Road, Swords",24,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
860,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal",2,*N/A,,,,,,Q3-2017,,,,,,,,,,,,,
861,SHIP CONSTRUCTION,Fingal,Cappaghfinn (Phase 1),14,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
862,SHIP CONSTRUCTION,Fingal,"St. Cronan's Green, Swords",14,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
863,SHIP CONSTRUCTION,Fingal,"St. Cronan's Cottages, Swords - Infill",1,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
864,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk",25,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
865,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal",6,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
866,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk",15,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
867,SHIP CONSTRUCTION,Fingal,"Redevelopment of Community Centre, Pinewood, Balbriggan",2,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
868,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk",4,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
869,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk",25,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
870,SHIP CONSTRUCTION,Fingal,"Tucketts Lane, Howth",8,*N/A,,,"Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
871,SHIP CONSTRUCTION,Fingal,Wellview,20,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
872,SHIP CONSTRUCTION,Fingal,Rowlestown,6,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
873,SHIP CONSTRUCTION,Fingal,Rowlestown,6,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
874,SHIP CONSTRUCTION,Fingal,"Cappaghfinn, Cappagh Road Finglas - Phase 3",69,*N/A,,,,,Q1-2021,,,,,,,,,,,,,,
875,SHIP CONSTRUCTION,Fingal,Rowlestown,4,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
876,SHIP CONSTRUCTION,Fingal,"Leonards Garage, Lusk",10,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
877,SHIP CONSTRUCTION,Fingal,"Katie Hunt's Cottage, Church Road, Lusk",5,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
878,SHIP CONSTRUCTION,Fingal,"North Street, Swords",8,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
879,CAS CONSTRUCTION,Fingal,Killhedge Lane Dun Emer,31,Túath Housing Association Ltd,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
880,CAS CONSTRUCTION,Fingal,"Ravenswood, North Road, Finglas",6,Peter McVerry Trust Ltd,,,,,,Q4-2018,,,,,,,,,,,,,
881,CAS CONSTRUCTION,Fingal,"22 College Street, Baldoyle",4,Cluid Housing Association,,,,,,Q4-2021,,,,,,,,,,,,,
882,CAS CONSTRUCTION,Fingal,"Darcystown, Ringfort, Balrothery",9,North ? East Housing Association Ltd,,,,,,Q3-2017,,,,,,,,,,,,,
883,CAS CONSTRUCTION,Fingal,"Estuary Road, Malahide",8,Society of Saint Vincent de Paul,,,,,,Q2-2018,,,,,,,,,,,,,
884,CAS CONSTRUCTION,Fingal,Garristown,6,North ? East Housing Association Ltd,,,,,Q3-2021,,,,,,,,,,,,,,
885,CAS CONSTRUCTION,Fingal,"63 Hollystown Park, Holystown, Dublin 15",5,Daughters Of Charity Of St Vincent De Paul,,,,,,Q4-2021,,,,,,,,,,,,,
886,CALF Turnkey,Fingal,"4 units, Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",4,Clúid Housing,,,,,,Q4-2018,,,,,,,,,,,,,
887,CALF Turnkey,Fingal,"Allendale Square, Clonsilla, Dublin 15 (Phase 1)*",28,Respond,,,,,,Q2-2020,,,,,,,,,,,,,
888,CALF Turnkey,Fingal,"An Muileann, Kettles Lane, Swords, Dublin (Phase 1)",24,Circle Voluntary Housing Association Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
889,CALF Turnkey,Fingal,"Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",12,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
890,CALF Turnkey,Fingal,"Barnwell Woods, Hansfield, Dublin 15 (Phase 2)*",12,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
891,CALF Turnkey,Fingal,"Bellingsmore, Hollywoodrath, Dubin 15 (Phase 1)",29,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
892,CALF Turnkey,Fingal,"Bellingsmore, Hollywoodrath, Dubin 15 (Phase 2)",12,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
893,CALF Turnkey,Fingal,"Bellingsmore, Hollywoodrath, Dublin 15  (Phase 1)*",17,Tuath Housing Association,,,,,,Q2-2021,,,,,,,,,,,,,
894,CALF Turnkey,Fingal,"Bellingsmore, Hollywoodrath, Dublin 15  (Phase 2)",21,Tuath Housing Association,,,,,,Q4-2021,,,,,,,,,,,,,
895,CALF Turnkey,Fingal,"Beresford, Oakstown, Donabate, Co. Dublin (Phase 1)*",36,Tuath Housing Association,,,,,Q3-2020,,,,,,,,,,,,,,
896,CALF Turnkey,Fingal,"Beresford, Oakstown, Donabate, Co. Dublin (Phase 2)*",4,Tuath Housing Association,,,,,Q3-2020,,,,,,,,,,,,,,
897,CALF Turnkey,Fingal,"Carrs Lane, Malahide Road, Dublin 17 (Phase 1)*",29,Respond,,,,,,Q2-2021,,,,,,,,,,,,,
898,CALF Turnkey,Fingal,"Carrs Lane, Malahide Road, Dublin 17 (Phase 2)*",30,Respond,,,,,,Q4-2021,,,,,,,,,,,,,
899,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 1),5,Tuath Housing Association,,,,,,Q2-2016,,,,,,,,,,,,,
900,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 2),7,Tuath Housing Association,,,,,,Q3-2016,,,,,,,,,,,,,
901,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 3),7,Tuath Housing Association,,,,,,Q4-2016,,,,,,,,,,,,,
902,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 4),21,Tuath Housing Association,,,,,,Q1-2017,,,,,,,,,,,,,
903,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 5),8,Tuath Housing Association,,,,,,Q2-2017,,,,,,,,,,,,,
904,CALF Turnkey,Fingal,"Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 1)*",90,Respond,,,,,,Q4-2021,,,,,,,,,,,,,
905,CALF Turnkey,Fingal,"Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 2)*",48,Respond,,,,,,Q4-2021,,,,,,,,,,,,,
906,CALF Turnkey,Fingal,"Cois Sruthan, Ballyboughal, Co.Dublin (Phase 1)*",17,Oaklee Housing,,,,,,Q3-2020,,,,,,,,,,,,,
907,CALF Turnkey,Fingal,"Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 1)",11,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
908,CALF Turnkey,Fingal,"Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 2)*",6,Tuath Housing Association,,,,,,Q2-2021,,,,,,,,,,,,,
