"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
654,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.5)",25,"*N/A","","","","","","Q4-2018"
655,"SHIP CONSTRUCTION","Fingal","Rowlestown (Phase 3)",12,"*N/A","","","","","","Q4-2019"
656,"SHIP CONSTRUCTION","Fingal","St. Cronan's Cottages, Swords - Infill",1,"*N/A","","","","","","Q2-2016"
657,"SHIP CONSTRUCTION","Fingal","St. Cronan's Green, Swords",14,"*N/A","","","","","","Q2-2016"
658,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",2,"*N/A","","","","","","Q3-2017"
659,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal (Part 2)",6,"*N/A","","","","","","Q4-2018"
660,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh Ballyboughal Co. Dublin",5,"*N/A","","","","","","Q3-2019"
661,"SHIP CONSTRUCTION TURNKEY","Fingal","Hollytown Cottages",4,"*N/A","","","","","","Q4-2019"
662,"SHIP CONSTRUCTION TURNKEY","Fingal","Rahillion, Donabate",1,"*N/A","","","","","","Q4-2019"
663,"SHIP CONSTRUCTION TURNKEY","Fingal","Balgriffin Grove, Malahide Road, Balgriffin",6,"*N/A","","","","","","Q1-2017"
664,"SHIP CONSTRUCTION TURNKEY","Fingal","Blackmills Grove, Blakestown Road, Mulhuddard",10,"*N/A","","","","","","Q2-2017"
665,"SHIP CONSTRUCTION TURNKEY","Fingal","Boroimhe, Swords",6,"*N/A","","","","","","Q3-2018"
666,"SHIP CONSTRUCTION TURNKEY","Fingal","Bremore Pastures Park, Balbriggan",4,"*N/A","","","","","","Q4-2018"
667,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
668,"SHIP CONSTRUCTION TURNKEY","Fingal","Glaslinn, Donabate",3,"*N/A","","","","","","Q4-2018"
