"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
395,"CALF Turnkey","Fingal","Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,"Respond","","","","","","Q3-2018"
396,"CALF Turnkey","Fingal","Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,"Co-operative Housing Ireland","","","","","","Q3-2018"
397,"CALF Turnkey","Fingal","4 units, Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
398,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q4-2018"
399,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 2)*",12,"T�ath Housing Association Ltd","","","","","","Q4-2018"
400,"CALF Turnkey","Fingal","Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,"Cluid Housing","","","","","","Q4-2018"
401,"CALF Turnkey","Fingal","Northwood Green, Santry, Dublin 9 (Phase 1)*",6,"Respond","","","","","","Q4-2018"
402,"CALF Turnkey","Fingal","Taylor Hill Crescent, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
403,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,"Cluid Housing","","","","","","Q4-2018"
404,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 4)",21,"T�ath Housing Association Ltd","","","","","","Q1-2017"
405,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 3)",7,"T�ath Housing Association Ltd","","","","","","Q4-2016"
406,"CALF Turnkey","Fingal","St Marnock�s Bay, Portmarnock, Co Dublin   (Phase 1)*",10,"Cluid Housing","","","","","","Q4-2017"
407,"CALF Turnkey","Fingal","St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1)*",18,"T�ath Housing Association Ltd","","","","","","Q4-2017"
408,"CALF Turnkey","Fingal","The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,"Cluid Housing","","","","","","Q4-2017"
409,"SHIP CONSTRUCTION TURNKEY","Fingal","Blackmills Grove, Blakestown Road, Mulhuddard",10,"*N/A","","","","","","Q2-2017"
410,"SHIP CONSTRUCTION TURNKEY","Fingal","Balgriffin Grove, Malahide Road, Balgriffin",6,"*N/A","","","","","","Q1-2017"
411,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield (Phase 1), Ongar, Dublin 15",16,"*N/A","","","","","","Q1-2018"
412,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield (Phase 2), Ongar, Dublin 15",16,"*N/A","","","","","","Q2-2018"
413,"SHIP CONSTRUCTION TURNKEY","Fingal","Ravenswood, North Road, Finglas (Phase 2)",2,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
414,"SHIP CONSTRUCTION TURNKEY","Fingal","Boroimhe, Swords",6,"*N/A","","","","","","Q3-2018"
415,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
416,"SHIP CONSTRUCTION TURNKEY","Fingal","Kenure Gate, Park Road, Rush",4,"*N/A","","","","","","Q4-2018"
417,"SHIP CONSTRUCTION TURNKEY","Fingal","Glaslinn, Donabate",3,"*N/A","","","","","","Q4-2018"
418,"SHIP CONSTRUCTION TURNKEY","Fingal","Bremore Pastures Park, Balbriggan",4,"*N/A","","","","","","Q4-2018"
419,"SHIP CONSTRUCTION TURNKEY","Fingal","Northwood Green, Santry, Dublin 9",37,"*N/A","","","","","","Q4-2018"
420,"SHIP CONSTRUCTION RAPID","Fingal","Avondale, Mulhuddart, Dublin 15",42,"*N/A","","","","","Q3-2018",""
421,"SHIP CONSTRUCTION RAPID","Fingal","Hansfield, Ongar, Dublin 15",36,"*N/A","","","","","","Q3-2017"
422,"SHIP CONSTRUCTION RAPID","Fingal","Pinewood, Balbriggan",20,"*N/A","","","","","","Q2-2018"
423,"SHIP CONSTRUCTION RAPID","Fingal","Wellview, Mulhuddart",20,"*N/A","","","","","","Q4-2017"
424,"SHIP CONSTRUCTION RAPID","Fingal","Church Road, Mulhuddart, Dublin 15",22,"*N/A","","","","","Q4-2018",""
425,"SHIP CONSTRUCTION","Fingal","Rivermeade, St. Margarets",2,"*N/A","","","","","Q4-2018",""
426,"SHIP CONSTRUCTION","Fingal","Rowlestown",20,"*N/A","","","","","Q2-2018",""
427,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.3)",5,"*N/A","","","","","","Q2-2018"
428,"SHIP CONSTRUCTION","Fingal","Castlelands, Park View, Balbriggan (Phase 3)",24,"*N/A","","","","","Q1-2017",""
429,"SHIP CONSTRUCTION","Fingal","Rathbeale Road, Swords",24,"*N/A","","","","","Q4-2018",""
430,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal (Part 1)",2,"*N/A","","","","","","Q3-2017"
431,"SHIP CONSTRUCTION","Fingal","Cappaghfinn (Phase 1)",14,"*N/A","","","","","","Q2-2016"
432,"SHIP CONSTRUCTION","Fingal","St. Cronan's Green, Swords",14,"*N/A","","","","","","Q2-2016"
433,"SHIP CONSTRUCTION","Fingal","St. Conan's Cottages, Swords",1,"*N/A","","","","","","Q2-2016"
434,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.1)",25,"*N/A","","","","","","Q4-2017"
435,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal (Part 2)",6,"*N/A","","","","","","Q4-2018"
436,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.2) ",15,"*N/A","","","","","","Q1-2018"
437,"SHIP CONSTRUCTION","Fingal","Redevelopment of Community Centre, Pinewood, Balbriggan",2,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
438,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.4)",4,"*N/A","","","","","","Q3-2018"
439,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.5)",25,"*N/A","","","","","","Q4-2018"
440,"SHIP CONSTRUCTION","Fingal","Tucketts Lane, Howth, Co Dublin",8,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
441,"CAS CONSTRUCTION","Fingal","Killhedge Lane Dun Emer",48,"T�ath Housing Association Ltd","Stage 1 approved Q1-2017, outline design and costs being prepared.","","","","",""
442,"CAS CONSTRUCTION","Fingal","Ravenswood, North Road, Finglas (Phase 1)",6,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
443,"CAS CONSTRUCTION","Fingal","College Street, Baldoyle",4,"Cluid Housing Association","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
444,"CAS CONSTRUCTION","Fingal","Darcystown, Ringfort, Balrothery",9,"North ? East Housing Association Ltd","","","","","","Q3-2017"
445,"CAS CONSTRUCTION","Fingal","Estuary Road, Malahide",8,"Society of Saint Vincent de Paul","","","","","","Q2-2018"
446,"CALF Turnkey","Galway City","Belmont, Renmore, Galway City (Phase 1)*",16,"Co-operative Housing Ireland","","","","","Q1-2018",""
447,"CALF Turnkey","Galway City"," Murrough, Renmore, Galway  (Phase 1)",8,"Cluid Housing","","","","","Q1-2018",""
448,"CALF Turnkey","Galway City"," Murrough, Renmore, Galway  (Phase 2)",8,"Cluid Housing","","","","","Q1-2018",""
449,"CALF Turnkey","Galway City"," Murrough, Renmore, Galway  (Phase 3)*",4,"Cluid Housing","","","","","Q1-2018",""
450,"CALF Turnkey","Galway City","Castlegar Road, Galway (Phase 1)",81,"Respond","","","","","Q2-2018",""
451,"CALF Turnkey","Galway City","Sraith Fhada, Doughiska, Galway City (Phase 1)",14,"Co-operative Housing Ireland","","","","","Q4-2017",""
452,"CALF Turnkey","Galway City","Reilean, Roscam, Galway (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q2-2017"
453,"CALF Turnkey","Galway City","Reilean, Roscam, Galway (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q2-2017"
454,"CALF Turnkey","Galway City","Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,"Cluid Housing","","","","","","Q3-2017"
455,"CALF Turnkey","Galway City"," Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,"T�ath Housing Association Ltd","","","","","","Q3-2018"
456,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q1-2017"
457,"CALF Turnkey","Galway City","Boireann Beag, Ros Cam, Galway (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
458,"CALF Turnkey","Galway City","Maigh Rua, Doughiska, Galway  (Phase 1)",23,"Co-operative Housing Ireland","","","","","","Q4-2017"
459,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,"T�ath Housing Association Ltd","","","","","","Q4-2017"
460,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road - (Phase 1)",32,"*N/A","","","","","Q3-2018",""
461,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 2)",20,"*N/A","","","","","Q3-2018",""
462,"SHIP CONSTRUCTION","Galway City","Ballymoneen Road (Phase 2)",78,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
463,"SHIP CONSTRUCTION","Galway City","Ballymoneen Road (Phase 1)",14,"*N/A","","","","","","Q2-2018"
464,"SHIP CONSTRUCTION","Galway City","Ballinfoile Park, Headford Road (Infill Units)",9,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
465,"SHIP CONSTRUCTION","Galway City","Corrib Park (Infill Units)",3,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
466,"SHIP CONSTRUCTION","Galway City","Castlepark, Ballybane (Infill Units)",4,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
467,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More, Galway.",7,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
468,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More, Galway",58,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
469,"SHIP CONSTRUCTION","Galway City","Headford Road, Castlegar",69,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
470,"CAS CONSTRUCTION","Galway City","Rockfield",4,"Carraig Dubh Housing Association","","","","","","Q1-2018"
471,"CAS CONSTRUCTION","Galway City","Cul Garrai, Rahoon",6,"Peter Triest Housing Association Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
472,"CAS CONSTRUCTION","Galway City","Forster Street",9,"Cope Galway","","","","","Q4-2018",""
473,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Galway City","Ballyburke",74,"*N/A","","","Q1-2018","","",""
474,"CALF Turnkey","Galway County","Cnoc na Si, Portumna, Co Galway (Phase 2)",3,"Co-operative Housing Ireland","","","","","Q1-2017",""
475,"CALF Construction","Galway County","Spiddal Cottages, Co Galway (Phase 1)",23,"Cluid Housing","","","","","","Q3-2017"
476,"CALF Turnkey","Galway County","Cnoc na Si, Portumna, Co Galway (Phase 1)",10,"Co-operative Housing Ireland","","","","","","Q2-2018"
477,"SHIP CONSTRUCTION TURNKEY","Galway County","Lorro gate, Prospect, Athenry",14,"*N/A","","","","","","Q4-2017"
478,"SHIP CONSTRUCTION TURNKEY","Galway County","Arvough, Kinvara",6,"*N/A","","","","","","Q4-2017"
479,"SHIP CONSTRUCTION TURNKEY","Galway County","Castlecourt, Abbey Street, Portumna",10,"*N/A","","","","","","Q4-2017"
480,"SHIP CONSTRUCTION TURNKEY","Galway County","Ashthorn Avenue, Headford",10,"*N/A","","","","","","Q4-2018"
481,"SHIP CONSTRUCTION TURNKEY","Galway County","Cuirt na hAbhann, Claregalway ",8,"*N/A","","","","","","Q4-2018"
482,"SHIP CONSTRUCTION","Galway County","Esker Fields, Ballinasloe",2,"*N/A","","","","","Q2-2018",""
483,"SHIP CONSTRUCTION","Galway County","Garbally Drive, Ballinasloe",10,"*N/A","","","","","Q2-2018",""
484,"SHIP CONSTRUCTION","Galway County","Culleen, Carraroe, Connemara",6,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
485,"SHIP CONSTRUCTION","Galway County","Ardrahan (SRD)",1,"*N/A","","","","","","Q4-2017"
486,"SHIP CONSTRUCTION","Galway County","Callowfinish, Carna (SRD)",1,"*N/A","","","","","","Q2-2018"
487,"SHIP CONSTRUCTION","Galway County","Waterdale, Claregalway (SRD)",1,"*N/A","","","","","","Q4-2018"
488,"SHIP CONSTRUCTION","Galway County","Corndulla (SRD)",1,"*N/A","","","","","Q2-2018",""
489,"SHIP CONSTRUCTION","Galway County","Cill Ciar�n (SRD)",1,"*N/A","","","","","","Q3-2018"
490,"SHIP CONSTRUCTION","Galway County","Kinvara (SRD)",1,"*N/A","","","","","","Q3-2018"
491,"SHIP CONSTRUCTION","Galway County","Roundstone",10,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
492,"SHIP CONSTRUCTION","Galway County","Sruchain an Chlair, Oughterard",13,"*N/A","Stage 1 approved Q4-2017, outline design and costs being prepared.","","","","",""
493,"SHIP CONSTRUCTION","Galway County","St. Joseph's, Clifden",23,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
494,"SHIP CONSTRUCTION","Galway County","Bridge Court, Ahascragh, Ballinasloe",16,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
495,"SHIP CONSTRUCTION","Galway County","Caisle�n Raithl�n, Ardrahan",10,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
496,"SHIP CONSTRUCTION","Galway County","Old Area Engineer's Office, Barrack Street, Loughrea",5,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
497,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam. Phase 2",45,"*N/A","","","","","Q4-2017",""
498,"SHIP CONSTRUCTION","Galway County","Cartron, Kinvarra",10,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
499,"SHIP CONSTRUCTION","Galway County","Gort U� Lochlainn, Moycullen",30,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
500,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam. Phase 1",16,"*N/A","","","","","","Q4-2018"
501,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 2)",11,"Cluid Housing Association","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
502,"CAS CONSTRUCTION","Galway County","Rossaveal Cottages, Ros a Mh�l, South Connemara",8,"Tearmann Eanna Teoranta","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
503,"CAS CONSTRUCTION","Galway County","Cregboy, Claregalway",14,"Claregalway and District Day Care Centre","","","","","Q2-2018",""
504,"CAS CONSTRUCTION","Galway County","Eanach Mheain, Carraroe",13,"Tearmann Eanna Teoranta","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
505,"CAS CONSTRUCTION","Galway County","Mountbellew",5,"Mountbellew Voluntary Homes Association","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
506,"CAS CONSTRUCTION","Galway County","Springfield, Parkmore (Ballinasloe)",4,"Peter Triest Housing Association Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
507,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 1)",13,"Cluid Housing Association","","","","","","Q2-2016"
508,"CAS CONSTRUCTION","Galway County","Dunlo Hill, Ballinasloe",17,"Cluid Housing Association","","","","","Q4-2018",""
509,"CAS CONSTRUCTION","Galway County","Caheroyn, Athenry",4,"Peter Triest Housing Association Ltd","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
510,"CAS CONSTRUCTION","Galway County","Aggard More, Craughwell",5,"Peter Triest Housing Association Ltd","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
511,"CAS CONSTRUCTION","Galway County","The Old Post Office, Inverin",4,"Tearmann Eanna Teoranta","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
512,"CALF Turnkey","Kerry","Oakwood, Coolegrean, Killarney, Co. Kerry (Phase 1)",59,"Cluid Housing","","","","Q1-2018","",""
513,"CALF Turnkey","Kerry","The Grove, Dingle, Co. Kerry (Phase 1)*",20,"Cluid Housing","","","","Q3-2018","",""
514,"CALF Turnkey","Kerry","Doon Road, Lisloose, Tralee, Co. Kerry (Phase 1)*",14,"Co-operative Housing Ireland","","","","Q4-2018","",""
515,"CALF Turnkey","Kerry"," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 2)",2,"Respond","","","","","Q3-2018",""
516,"CALF Turnkey","Kerry"," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 3)",6,"Respond","","","","","Q3-2018",""
517,"CALF Turnkey","Kerry","Derreen, Killarney, Co Kerry  (Phase 1)",61,"Cluid Housing","","","","","Q4-2018",""
518,"CALF Turnkey","Kerry","Fortfield, Tralee, Co. Kerry (Phase 1)*",15,"Cluid Housing","","","","","Q4-2018",""
519,"CALF Turnkey","Kerry","Killeen, Abbeydorney Road, Tralee, Co. Kerry (Phase 1)*",17,"Cluid Housing","","","","","Q1-2019",""
520,"CALF Turnkey","Kerry","Cathair Lakes Farrantoreen Road, Killorglin, Co Kerry (Phase 1)",5,"Cluid Housing","","","","","","Q2-2016"
521,"CALF Turnkey","Kerry"," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 1)",14,"Respond","","","","","","Q4-2018"
522,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole, Phase 1",2,"*N/A","","","","","","Q1-2018"
523,"SHIP CONSTRUCTION TURNKEY","Kerry","Cahirdown Wood, Listowel",38,"*N/A","","","","","Q4-2018",""
524,"SHIP CONSTRUCTION TURNKEY","Kerry","Steeple Meadow View, Milltown",4,"*N/A","","","","","","Q4-2017"
525,"SHIP CONSTRUCTION TURNKEY","Kerry","Meadow Park, Milltown",9,"*N/A","","","","","","Q2-2018"
526,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole, Phase 2",5,"*N/A","","","","","","Q3-2018"
527,"SHIP CONSTRUCTION TURNKEY","Kerry","Ardmoniel Heights, Killorglin - Phase 1",3,"*N/A","","","","","","Q4-2018"
528,"SHIP CONSTRUCTION TURNKEY","Kerry","Woodview, Cahirdown, Listowel",1,"*N/A","","","","","","Q2-2018"
529,"SHIP CONSTRUCTION TURNKEY","Kerry","Dromin Upper, Listowel",8,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
530,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole, Phase 3",3,"*N/A","","","","","","Q4-2018"
531,"SHIP CONSTRUCTION SINGLE STAGE","Kerry","Pinewood Estate, Killarney",6,"*N/A","","","","Stage 4 approved Q2-2018, the scheme is fully approved.","",""
532,"SHIP CONSTRUCTION","Kerry","Ardmoneel, Killorglin",14,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
533,"SHIP CONSTRUCTION","Kerry","Rathmore/Barraduff",20,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
534,"SHIP CONSTRUCTION","Kerry","Ardbhearna, Kenmare",22,"*N/A","","","","","","Q4-2018"
535,"SHIP CONSTRUCTION","Kerry","Bill Kinnerk Road, Tralee",4,"*N/A","","","","","","Q1-2018"
536,"SHIP CONSTRUCTION","Kerry","Milltown",8,"*N/A","","","","","Q4-2018",""
537,"SHIP CONSTRUCTION","Kerry","Killeen, Tralee",21,"*N/A","","","","","Q2-2018",""
538,"SHIP CONSTRUCTION","Kerry","Lixnaw",4,"*N/A","","","","","","Q4-2017"
539,"SHIP CONSTRUCTION","Kerry","The Park, Killarney",20,"*N/A","","","","","","Q1-2018"
540,"SHIP CONSTRUCTION","Kerry","Courthouse Lawn, Listowel",7,"*N/A","","","","","Q4-2018",""
541,"SHIP CONSTRUCTION","Kerry","Dreenagh, Ballyheigue (SRD)",1,"*N/A","","","","","","Q1-2017"
542,"SHIP CONSTRUCTION","Kerry","Marconi Avenue, Ballybunion",20,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
543,"SHIP CONSTRUCTION","Kerry","Callinafercy, Milltown",1,"*N/A","","","","","","Q4-2018"
544,"SHIP CONSTRUCTION","Kerry","Cahernaboshina, Ventry",1,"*N/A","","","","","","Q4-2018"
545,"SHIP CONSTRUCTION","Kerry","Balloonagh, Tralee",28,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
546,"SHIP CONSTRUCTION","Kerry","Pinewood Estate, Killarney",1,"*N/A","","","","","","Q4-2018"
547,"SHIP CONSTRUCTION","Kerry","Drom West, Glenbeigh",1,"*N/A","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
548,"SHIP CONSTRUCTION","Kerry","Meanus, Killorglin",1,"*N/A","","","","","Q3-2018",""
549,"SHIP CONSTRUCTION","Kerry","Tullig Beg, Killorglin",1,"*N/A","","","","","Q3-2018",""
550,"SHIP CONSTRUCTION","Kerry","Owngarry, killorglin",1,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
551,"SHIP CONSTRUCTION","Kerry","Lohercannon, Tralee",56,"*N/A","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
552,"SHIP CONSTRUCTION","Kerry","BallinaKilly Lower, Glenbeigh",1,"*N/A","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
553,"SHIP CONSTRUCTION","Kerry","Ashgrove, Listowel",1,"*N/A","","","","","","Q3-2017"
554,"SHIP CONSTRUCTION","Kerry","Cullenagh Upper, Beaufort",1,"*N/A","","","Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.","","",""
555,"SHIP CONSTRUCTION","Kerry","Farranwilliam, Ardfert",24,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
556,"SHIP CONSTRUCTION","Kerry","Rahoonane, Tralee",8,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
557,"SHIP CONSTRUCTION","Kerry","Ballyrickard, Tralee",20,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
558,"REGENERATION","Kerry","Croilar Na Mistaelach, Tralee",11,"*N/A","","","","","","Q4-2018"
559,"REGENERATION","Kerry","Urban Terrace, Tralee",2,"*N/A","","","","","","Q4-2016"
560,"REGENERATION","Kerry","Clonmore Road, Tralee",3,"*N/A","","","","","","Q4-2016"
561,"REGENERATION","Kerry","St Martin's Park, Tralee",4,"*N/A","","","","","","Q4-2018"
562,"REGENERATION","Kerry","Dingle Road, Tralee",1,"*N/A","","","","","","Q2-2018"
563,"CAS CONSTRUCTION","Kerry","Armagh House, Killarney",6,"Cluid Housing Association","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
564,"CAS CONSTRUCTION","Kerry","College Road, Castleisland",4,"Kerry Emigrant Support Housing Association Ltd","","","","","","Q4-2018"
565,"CAS CONSTRUCTION","Kerry","Mitchels-Boherbee",18,"Cluid Housing Association","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
566,"CAS CONSTRUCTION","Kerry","The Parsonage, Caherciveen",5,"Caherciveen Social Services (Housing) Ltd","","","","","","Q4-2018"
567,"CAS CONSTRUCTION","Kerry","Hawley Park Apartments, St Martins Park, Mitchels Rd, Tralee",15,"Kingdom Voluntary Housing Association","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
568,"CAS CONSTRUCTION","Kerry","The Presentation Convent, Rathmore",4,"*N/A","","","","","Q4-2018",""
569,"CALF Construction","Kildare","Castlefen, Castlesize, Sallins, Co. Kildare (Phase 1)",29,"T�ath Housing Association Ltd","","","","Q3-2018","",""
570,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Kildare (Phase 3)",20,"Cluid Housing","","","","","Q1-2018",""
571,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Kildare (Phase 4)",2,"Cluid Housing","","","","","Q1-2018",""
572,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 1)*",18,"T�ath Housing Association Ltd","","","","","Q2-2018",""
573,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 2)",27,"T�ath Housing Association Ltd","","","","","Q2-2018",""
574,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 3)",18,"T�ath Housing Association Ltd","","","","","Q2-2018",""
575,"CALF Turnkey","Kildare","Robertstown, Naas , Co.Kildare (Phase 1)",5,"Co-operative Housing Ireland","","","","","Q2-2018",""
576,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)",50,"Respond","","","","","Q4-2018",""
577,"CALF Turnkey","Kildare","Elsmore, Jigginstown, Nass, Co. Kildare (Phase 2)*",3,"T�ath Housing Association Ltd","","","","","Q4-2017",""
578,"CALF Turnkey","Kildare","Revised Rye Abbey, Kilcock, Co Kildare (apts)\n (Phase 1)",33,"Cluid Housing","","","","","","Q2-2017"
579,"CALF Turnkey","Kildare","Roseberry Hill, Newbridge (Phase 1)",13,"T�ath Housing Association Ltd","","","","","","Q2-2017"
580,"CALF Turnkey","Kildare","Rye Abbey, Kilcock - revised (houses) (Phase 1)",4,"Cluid Housing","","","","","","Q2-2017"
581,"CALF Turnkey","Kildare","Morristown, Newbridge, Co Kildare (Phase 1)",14,"Cluid Housing","","","","","","Q1-2018"
582,"CALF Turnkey","Kildare","Roseberry Hill, Newbridge (Phase 3)",16,"T�ath Housing Association Ltd","","","","","","Q1-2018"
583,"CALF Turnkey","Kildare","Morristown, Newbridge, Co. Kildare (Phase 1)*",4,"Cluid Housing","","","","","","Q2-2018"
584,"CALF Turnkey","Kildare","Oaktree, Tully Road, Kildare Town (Phase 1)*",10,"T�ath Housing Association Ltd","","","","","","Q2-2018"
585,"CALF Turnkey","Kildare","Millfield Manor, Newbridge, Co. Kildare (Phase 1)*",19,"Cluid Housing","","","","","","Q3-2018"
586,"CALF Turnkey","Kildare","Oaktree, Tully Road, Kildare Town (Phase 2)*",7,"T�ath Housing Association Ltd","","","","","","Q3-2018"
587,"CALF Turnkey","Kildare","Bellingsfield, Naas, Kildare (Phase 1)*",10,"Respond","","","","","","Q4-2018"
588,"CALF Turnkey","Kildare","Carton Grove, Maynooth, Co. Kildare (Phase 1)*",5,"Clanmil Housing Association Ireland","","","","","","Q4-2018"
589,"CALF Turnkey","Kildare","Elsmore, Jigginstown, Nass, Co. Kildare (Phase 1)*",8,"T�ath Housing Association Ltd","","","","","","Q4-2018"
590,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Kildare (Phase 1)*",14,"Cluid Housing","","","","","","Q4-2018"
591,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Kildare (Phase 2)",24,"Cluid Housing","","","","","","Q4-2018"
592,"CALF Turnkey","Kildare","Roseberry Hill, Newbridge (Phase 2)",16,"T�ath Housing Association Ltd","","","","","","Q4-2017"
