"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
199,"SHIP CONSTRUCTION TURNKEY","Cork City","Ard na Ri, Banduff Road, Cork",10,"*N/A","","","","","","Q4-2019"
200,"SHIP CONSTRUCTION TURNKEY","Cork City","Eagle Valley, Sarsfield Road",1,"*N/A","","","","","","Q4-2019"
201,"SHIP CONSTRUCTION TURNKEY","Cork City","Knockfree Avenue, Glengarriff Road, Fairhill, Cork",2,"*N/A","","","","","","Q4-2019"
202,"SHIP CONSTRUCTION TURNKEY","Cork City","3-10 Herbert Lawn, Belmont, Rochestown, Cork",8,"*N/A","","","","","","Q4-2019"
203,"SHIP CONSTRUCTION TURNKEY","Cork City","Elton Wood & Herbert Lawn, Rochestown, Cork ",8,"*N/A","","","","","","Q4-2019"
204,"SHIP CONSTRUCTION TURNKEY","Cork City","Aspen Drive, Maryborough Hill, Cork ",29,"*N/A","","","","","","Q4-2019"
205,"SHIP CONSTRUCTION TURNKEY","Cork City","5 Fairfield Heights, Upper Fairhill, Cork ",3,"*N/A","","","","","","Q4-2020"
206,"SHIP CONSTRUCTION TURNKEY","Cork City","Ringcroft Avenue, Ringmahon Road, Mahon",2,"*N/A","","","","","","Q4-2020"
207,"SHIP CONSTRUCTION TURNKEY","Cork City","Cluain Ard, Waterloo Road, Blarney, Cork",3,"*N/A","","","","","","Q4-2020"
208,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Cork City","Clover Hill Court, Bessboro Road, Mahon, Cork",51,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
209,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Cork City","Westside, Model Farm Road, Cork",32,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
210,"SHIP CONSTRUCTION","Cork City","Poulavone, Ballincollig",64,"*N/A","","","Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.","","",""
211,"SHIP CONSTRUCTION","Cork City","The Meadows, Knocknacullen",1,"*N/A","","","","","","Q3-2016"
212,"SHIP CONSTRUCTION","Cork City","Boyces Street",14,"*N/A","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
213,"SHIP CONSTRUCTION","Cork City","Shandon Street/John Philpott Curran Street",9,"*N/A","","","","","","Q4-2020"
214,"SHIP CONSTRUCTION","Cork City","St. Johns Well",6,"*N/A","","","","","","Q4-2019"
215,"SHIP CONSTRUCTION","Cork City","Churchfield Place East",3,"*N/A","","","","","","Q4-2018"
216,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher",8,"*N/A","","","","","","Q4-2018"
217,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Street",43,"*N/A","","","Stage 3 approved Q3-2019, the scheme is now approved to proceed to tender.","","",""
218,"SHIP CONSTRUCTION","Cork City","Cappanoole",2,"*N/A","","","","","","Q4-2016"
219,"SHIP CONSTRUCTION","Cork City","Madonna House, Ballincollig (Phase 2)",6,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
220,"SHIP CONSTRUCTION","Cork City","Bramble Cottages",4,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
221,"SHIP CONSTRUCTION","Cork City","Errigal Heights, The Glen, Cork City",28,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
222,"SHIP CONSTRUCTION","Cork City","Glenamoy Lawn, Mayfield, Cork",3,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
223,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher",7,"*N/A","","","","","","Q1-2019"
224,"SHIP CONSTRUCTION","Cork City","Hollywood Estate Infill Housing, Blarney Road, Cork",7,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
225,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher",50,"*N/A","","","","","","Q3-2019"
226,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Apartments - Block 7, North Monastery Road / St. Vincent's Road, Cork",6,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
227,"SHIP CONSTRUCTION","Cork City","16A Kerry Road (former Sl� Gartan), Mayfield, Cork ",1,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
228,"SHIP CONSTRUCTION","Cork City","21A Carrigmore Park, Ballinlough, Cork",1,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
229,"SHIP CONSTRUCTION","Cork City","Boyces street",37,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
230,"REGENERATION","Cork City","CNWQR Knocknaheeny Phase 1B",29,"*N/A","","","","","","Q4-2017"
231,"REGENERATION","Cork City","CNWQR Knocknaheeny Phase 2A",47,"*N/A","","","","","","Q4-2019"
232,"REGENERATION","Cork City","CNWQR Knocknaheeny Phase 1C",41,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
233,"REGENERATION","Cork City","CNWQR Knocknaheeny Phase 2B",38,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
234,"REGENERATION","Cork City","CNWQR Knocknaheeney Phase 2C",24,"*N/A","","","","","","Q4-2020"
235,"REGENERATION","Cork City","Foyle Avenue Infill Housing Development, Knocknaheeny, Cork",2,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
236,"REGENERATION","Cork City","Ardmore Avenue, Knocknaheeny, Cork",1,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
237,"REGENERATION","Cork City","CNWQR Knocknaheeny Phase 3B",62,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
238,"REGENERATION","Cork City","CNWQR Knocknaheeny Phase 4A",43,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
239,"CAS CONSTRUCTION","Cork City","Edel House, Grattan Street",37,"Good Shepherd Services Ltd","","","","","","Q4-2020"
240,"CAS CONSTRUCTION","Cork City","Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",25,"Respond","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
241,"CAS CONSTRUCTION","Cork City","Thomas Davis Street (Phase 1)",28,"Respond","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
242,"CAS CONSTRUCTION","Cork City","Ceanncora Lawn, Ballinlough",1,"Cork Mental Health Voluntary Housing Association Ltd","","","","","","Q3-2018"
243,"CAS CONSTRUCTION","Cork City","St. Joachim & Anne's, Anglesea Street",8,"Simon Community : Cork Simon","","","","","","Q4-2020"
244,"CAS CONSTRUCTION","Cork City","27-29 Dublin Street, Blackpool",10,"Respond","","","","","","Q3-2018"
245,"CAS CONSTRUCTION","Cork City","Ard na Ri, Closes Green, Farranree, Cork",20,"Farranree Sheltered Housing Association","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
246,"CAS CONSTRUCTION","Cork City","Apts 2 & 3 Cois Coille, Tivoli, Cork",2,"Galtan Ltd","Stage 1 approved Q3-2021, outline design and costs being prepared.","","","","",""
247,"CAS CONSTRUCTION","Cork City","Aras Lean, Murphy�s Farm, Bishopstown, Co. Cork",25,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
248,"CALF Turnkey","Cork City","12,14,15 Model Quarters, Tower, Blarney, Co Cork  (Phase 1)",3,"Circle Voluntary Housing Association Ltd","","","","","Q2-2019",""
249,"CALF Turnkey","Cork City","20 and 21 Kyle Street  (Phase 1)",6,"Focus Housing Association CLG","","","","Q2-2021","",""
250,"CALF Turnkey","Cork City","40-41 Grand Parade, Cork City (Phase 1)",7,"Focus Housing Association CLG","","","","","Q2-2021",""
251,"CALF Turnkey","Cork City","5 units, Shandon Street, Cork (Phase 1)",5,"Circle Voluntary Housing Association Ltd","","","","","","Q3-2019"
252,"CALF Turnkey","Cork City","Barters Wood, Tower, Cork (Phase 1)*",2,"Tuath Housing Association","","","","","Q1-2020",""
253,"CALF Turnkey","Cork City","Barters Wood, Tower, Cork (Phase 2)*",2,"Tuath Housing Association","","","","","Q1-2020",""
254,"CALF Turnkey","Cork City","Barters Wood, Tower, Cork (Phase 3)*",2,"Tuath Housing Association","","","","","Q1-2020",""
255,"CALF Turnkey","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 1)*",37,"Tuath Housing Association","","","","","","Q4-2019"
256,"CALF Turnkey","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 2)*",49,"Tuath Housing Association","","","","","","Q4-2020"
257,"CALF Turnkey","Cork City","Block 10 Jacobs Island, Mahon, Cork (Phase 1)",59,"Respond","","","","Q2-2021","",""
258,"CALF Turnkey","Cork City","Boherboy Road, Silversprings Hill, Cork City  (Phase 1)*",15,"Respond","","","","Q1-2021","",""
259,"CALF Turnkey","Cork City","Convent Gardens, Blackrock Villas, Blackrock, Co. Cork (Phase 1)",1,"Tuath Housing Association","","","","","","Q4-2019"
260,"CALF Turnkey","Cork City","Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 1)",4,"Tuath Housing Association","","","","","","Q4-2020"
261,"CALF Turnkey","Cork City","Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 2)",2,"Tuath Housing Association","","","","","","Q4-2020"
262,"CALF Turnkey","Cork City","Croppy Boy, Fairhill, Cork (Phase 1)",7,"Tuath Housing Association","","","","","","Q3-2020"
263,"CALF Turnkey","Cork City","Croppy Boy, Fairhill, Cork (Phase 2)*",14,"Tuath Housing Association","","","","","","Q4-2020"
264,"CALF Turnkey","Cork City","Emerald View, Old Mallow Road, Cork City (Phase 1)",6,"Focus Housing Association CLG","","","","","Q1-2021",""
265,"CALF Turnkey","Cork City","Evergreen Road, Turners Cross, Cork  (Phase 1)*",28,"Respond","","","","","Q1-2021",""
266,"CALF Turnkey","Cork City","Fairfield Meadows, Upper Fair Hill, Cork (Phase 1)*",18,"Focus Housing Association CLG","","","","Q3-2021","",""
267,"CALF Turnkey","Cork City","Glanmire Village, Glanmire, Cork (Phase 1)",3,"Focus Housing Association CLG","","","","","Q2-2020",""
268,"CALF Construction","Cork City","Green Lane, Blackpool, Cork City (Phase 1)",112,"Cl�id Housing","","","","Q1-2021","",""
269,"CALF Turnkey","Cork City","Haig Gardens, Boreenamanna Road and Wallace Avenue, Ballintemple (Phase 1)*",27,"Respond","","","","","Q2-2021",""
270,"CALF Turnkey","Cork City","Hereford Place, Ballymacthomas Street, Cork City (Phase 1)*",19,"Respond","","","","","Q1-2020",""
271,"CALF Turnkey","Cork City","Lancaster Gate, Western Road, Cork (Phase 1)",15,"Cl�id Housing","","","","","Q3-2021",""
272,"CALF Turnkey","Cork City","Leeside Apartments, Bachelors Quay, Cork City (Phase 1)",72,"Cl�id Housing","","","","","","Q4-2018"
273,"CALF Turnkey","Cork City","Leeside Apartments, Bachelors Quay, Cork City (Phase 2)",6,"Cl�id Housing","","","","","","Q3-2019"
274,"CALF Turnkey","Cork City","Lios Cara, Rathpeacon, Killeens, Cork (Phase 1)",12,"Cl�id Housing","","","","Q2-2021","",""
275,"CALF Construction","Cork City","Lower Glanmire Road, Cork City (Phase 1)",8,"Galtan Ltd","","","","","","Q4-2019"
276,"CALF Construction","Cork City","Lr. Glanmire Road & 2 Braemer, Cork (Phase 1)",3,"Galtan Ltd","","","","","","Q1-2018"
277,"CALF Construction","Cork City","Lr. Glanmire Road & 2 Braemer, Cork (Phase 2)",3,"Galtan Ltd","","","","","","Q4-2018"
278,"CALF Turnkey","Cork City","Maryborough Ridge & Blackrock  Villas\n (Phase 1)*",57,"Tuath Housing Association","","","","","","Q4-2019"
279,"CALF Turnkey","Cork City","Miles Stream, Shanakiel, Cork (Phase 1)",14,"Tuath Housing Association","","","","","Q3-2021",""
280,"CALF Turnkey","Cork City","Miles Stream, Shanakiel, Cork (Phase 2)",14,"Tuath Housing Association","","","","","Q3-2021",""
281,"CALF Turnkey","Cork City","Miles Stream, Shanakiel, Cork (Phase 3)",14,"Tuath Housing Association","","","","","Q3-2021",""
282,"CALF Turnkey","Cork City","Millerd Street, Cork (Phase 1)",25,"Respond","","","","","","Q4-2020"
283,"CALF Turnkey","Cork City","North Abbey Street, Cork City  (Phase 1)",6,"Respond","","","","","","Q4-2018"
284,"CALF Turnkey","Cork City","Redforge Road, Blackpool, Cork City (Phase 1)",18,"Respond","","","","","","Q4-2020"
285,"CALF Turnkey","Cork City","Redforge Road, Blackpool, Cork City (Phase 2)*",62,"Respond","","","","","Q1-2020",""
286,"CALF Turnkey","Cork City","Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 1)",31,"Tuath Housing Association","","","","","","Q4-2018"
287,"CALF Turnkey","Cork City","Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 2)",21,"Tuath Housing Association","","","","","","Q4-2019"
288,"CALF Turnkey","Cork City","Sarsfield Road, Doughcloyne, Wilton, Cork (Phase 1)*",22,"Respond","","","","","Q4-2020",""
289,"CALF Turnkey","Cork City","Sarsfield Road, Doughcloyne, Wilton, Cork (Phase 2)*",19,"Respond","","","","","Q4-2020",""
290,"CALF Turnkey","Cork City","Sarsfield Road, Doughcloyne, Wilton, Cork (Phase 3)",24,"Respond","","","","","Q4-2020",""
291,"CALF Turnkey","Cork City","Springville House, Bulls Lane, Blackrock Road, Cork (Phase 1)",35,"Tuath Housing Association","","","","","Q4-2020",""
292,"CALF Turnkey","Cork City","The Meadows (Phase 2) Gurranabraher, Cork City  (Phase 1)",17,"Tuath Housing Association","","","","","","Q4-2019"
293,"CALF Turnkey","Cork City","The Oaks, Frankfield, Douglas, Cork City (Phase 1)*",2,"Tuath Housing Association","","","","","Q4-2019",""
294,"CALF Turnkey","Cork City"," Tower Street, Cork City (Phase 1)",2,"Threshold Ltd","","","","Q2-2021","",""
295,"CALF Turnkey","Cork City","Woodside, Kerry Pike, Cork (Phase 1)*",22,"Cl�id Housing","","","","","","Q4-2020"
296,"SHIP CONSTRUCTION TURNKEY","Cork County","Church Road/Station Road, Carrigtwohill",18,"*N/A","","","","","","Q2-2018"
297,"SHIP CONSTRUCTION TURNKEY","Cork County","Inis Alainn & Castleoaks, Bandon",11,"*N/A","","","","","","Q4-2017"
298,"SHIP CONSTRUCTION TURNKEY","Cork County","Gleann Tuairigh, Youghal",3,"*N/A","","","","","","Q4-2018"
299,"SHIP CONSTRUCTION TURNKEY","Cork County","Millview Road, Kanturk",11,"*N/A","","","","","","Q4-2019"
300,"SHIP CONSTRUCTION TURNKEY","Cork County","Clondulane, Fermoy",2,"*N/A","","","","","","Q4-2017"
301,"SHIP CONSTRUCTION TURNKEY","Cork County","College Wood, Cobh",31,"*N/A","","","","","","Q4-2017"
302,"SHIP CONSTRUCTION TURNKEY","Cork County","Castletreasure, Douglas",12,"*N/A","","","","","","Q4-2017"
303,"SHIP CONSTRUCTION TURNKEY","Cork County","Crann Ard, Fermoy",4,"*N/A","","","","","","Q4-2019"
304,"SHIP CONSTRUCTION TURNKEY","Cork County","CulAird Carraigtwohill",29,"*N/A","","","","","","Q4-2017"
305,"SHIP CONSTRUCTION TURNKEY","Cork County","Castletreasure, Douglas",12,"*N/A","","","","","","Q1-2017"
306,"SHIP CONSTRUCTION TURNKEY","Cork County","Castletreasure, Douglas",16,"*N/A","","","","","","Q1-2017"
307,"SHIP CONSTRUCTION TURNKEY","Cork County","Claragh Road, Millstreet",5,"*N/A","","","","","","Q2-2021"
308,"SHIP CONSTRUCTION TURNKEY","Cork County","St. Mary�s Road, Dunmanway",7,"*N/A","","","","","","Q3-2020"
309,"SHIP CONSTRUCTION TURNKEY","Cork County","Glanworth, Fermoy",13,"*N/A","","","","","Q1-2020",""
310,"SHIP CONSTRUCTION TURNKEY","Cork County","Quartertown, Mallow",5,"*N/A","","","","","","Q4-2019"
311,"SHIP CONSTRUCTION TURNKEY","Cork County","Spa Glen,Ballyviniter, Mallow",8,"*N/A","","","","","","Q4-2019"
312,"SHIP CONSTRUCTION TURNKEY","Cork County","Beacon Point, Baltimore",6,"*N/A","","","","","","Q2-2019"
313,"SHIP CONSTRUCTION TURNKEY","Cork County","Corrin View, Fermoy",6,"*N/A","","","","","","Q2-2019"
314,"SHIP CONSTRUCTION TURNKEY","Cork County","No. 43 & No. 50 Chapel Court, Skibbereen ",2,"*N/A","","","","","","Q3-2018"
315,"SHIP CONSTRUCTION TURNKEY","Cork County","Cul Na Smear, Bandon",14,"*N/A","","","","","","Q4-2018"
316,"SHIP CONSTRUCTION TURNKEY","Cork County","Glen Dara, Ard Cashel, Watergrasshill",6,"*N/A","","","","","","Q4-2018"
317,"SHIP CONSTRUCTION TURNKEY","Cork County","Clarendon Brooks, Carrs Hill, Douglas",9,"*N/A","","","","","","Q2-2019"
318,"SHIP CONSTRUCTION TURNKEY","Cork County","Sweetfields, Youghal",15,"*N/A","","","","","","Q4-2020"
319,"SHIP CONSTRUCTION TURNKEY","Cork County","Lismire",4,"*N/A","","","","","","Q4-2018"
320,"SHIP CONSTRUCTION TURNKEY","Cork County","Rylane, Mount Rivers",3,"*N/A","","","","","","Q4-2020"
321,"SHIP CONSTRUCTION TURNKEY","Cork County","Clarendon Brooks, Carrs Hill, Douglas",17,"*N/A","","","","","","Q4-2020"
322,"SHIP CONSTRUCTION TURNKEY","Cork County","Seafield, Bantry, ",3,"*N/A","","","","","Q3-2018",""
323,"SHIP CONSTRUCTION TURNKEY","Cork County","Parklands, Youghal",13,"*N/A","","","","","","Q4-2018"
324,"SHIP CONSTRUCTION TURNKEY","Cork County","Oliver Plunkett Place, Doneraile",2,"*N/A","","","","","","Q4-2019"
325,"SHIP CONSTRUCTION TURNKEY","Cork County","No.9 and No.10  Chapel Court, Skibbereen,",2,"*N/A","","","","","","Q4-2018"
326,"SHIP CONSTRUCTION TURNKEY","Cork County","Tir Cluain, Midleton",8,"*N/A","","","","","","Q4-2018"
327,"SHIP CONSTRUCTION TURNKEY","Cork County","College Mews, Cobh",6,"*N/A","","","","","","Q4-2018"
328,"SHIP CONSTRUCTION TURNKEY","Cork County","Rathcormac",4,"*N/A","","","","","","Q4-2018"
329,"SHIP CONSTRUCTION TURNKEY","Cork County","Fairgreen, Mallow",10,"*N/A","","","","","","Q4-2019"
330,"SHIP CONSTRUCTION TURNKEY","Cork County","Tir Cluain, Midleton",14,"*N/A","","","","","","Q3-2019"
331,"SHIP CONSTRUCTION TURNKEY","Cork County","Church Road/Station Road, Carrigtwohill",7,"*N/A","","","","","","Q3-2018"
332,"SHIP CONSTRUCTION TURNKEY","Cork County","Canon St, Rathcormac",3,"*N/A","","","","","Q1-2019",""
333,"SHIP CONSTRUCTION TURNKEY","Cork County","Percival St, Kanturk",2,"*N/A","","","","","","Q4-2018"
334,"SHIP CONSTRUCTION TURNKEY","Cork County","9 & 9a Main Street, Boherbue",2,"*N/A","","","","","","Q4-2018"
335,"SHIP CONSTRUCTION TURNKEY","Cork County","Parklands, Youghal",6,"*N/A","","","","","","Q2-2019"
336,"SHIP CONSTRUCTION TURNKEY","Cork County","Rathcormac",4,"*N/A","","","","","","Q2-2019"
337,"SHIP CONSTRUCTION TURNKEY","Cork County","Inis F�il, Curraclough, Bandon",13,"*N/A","","","","","","Q4-2019"
338,"SHIP CONSTRUCTION TURNKEY","Cork County","Maple Woods, Midleton",6,"*N/A","","","","","","Q4-2018"
339,"SHIP CONSTRUCTION TURNKEY","Cork County","Crann Ard, Fermoy",8,"*N/A","","","","","Q4-2017",""
340,"SHIP CONSTRUCTION TURNKEY","Cork County","St. Mary�s Road, Dunmanway",6,"*N/A","","","","","","Q3-2020"
341,"SHIP CONSTRUCTION TURNKEY","Cork County","Sweetfields, Youghal",10,"*N/A","","","","","Q1-2019",""
342,"SHIP CONSTRUCTION TURNKEY","Cork County","Copper Point, Schull",7,"*N/A","","","","","Q2-2019",""
343,"SHIP CONSTRUCTION TURNKEY","Cork County","Mill Road, Avoncore, Bloomfield, Midleton",12,"*N/A","","","","","","Q4-2020"
344,"SHIP CONSTRUCTION TURNKEY","Cork County","Mill Road, Avoncore, Bloomfield, Midleton",11,"*N/A","","","","","","Q1-2021"
345,"SHIP CONSTRUCTION TURNKEY","Cork County","Mill Road, Avoncore, Bloomfield, Midleton",17,"*N/A","","","","","","Q2-2021"
346,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Cairn, Station Road, Carrigtwohill",2,"*N/A","","","","","","Q3-2019"
347,"SHIP CONSTRUCTION TURNKEY","Cork County","Spa Glen,Ballyviniter, Mallow",6,"*N/A","","","","","","Q2-2020"
348,"SHIP CONSTRUCTION TURNKEY","Cork County","Gleann Orga, Ballinhassig",4,"*N/A","","","","","","Q4-2019"
349,"SHIP CONSTRUCTION TURNKEY","Cork County","Lios Ard, Ballyhooly",8,"*N/A","","","","","","Q4-2020"
350,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Ard, Cobh",6,"*N/A","","","","","","Q3-2019"
351,"SHIP CONSTRUCTION TURNKEY","Cork County","Baltimore, West Cork",12,"*N/A","","","","","","Q4-2019"
352,"SHIP CONSTRUCTION TURNKEY","Cork County","Chapel Court, Skibbereen",2,"*N/A","","","","","","Q4-2019"
353,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Ard, Freemount",4,"*N/A","","","","","","Q4-2019"
354,"SHIP CONSTRUCTION TURNKEY","Cork County","Glengarriff",5,"*N/A","","","","","","Q4-2019"
355,"SHIP CONSTRUCTION TURNKEY","Cork County","The Cove, Glandore",4,"*N/A","","","","","","Q4-2019"
356,"SHIP CONSTRUCTION TURNKEY","Cork County","Copper Point, Schull",7,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
357,"SHIP CONSTRUCTION TURNKEY","Cork County","An Tui, Lisgoold, Leamlara",3,"*N/A","","","","","","Q4-2019"
358,"SHIP CONSTRUCTION TURNKEY","Cork County","Millstreet Road, Macroom",12,"*N/A","","","","","","Q4-2020"
359,"SHIP CONSTRUCTION TURNKEY","Cork County","Clarendon Brooks, Carrs Hill, Douglas",14,"*N/A","","","","","","Q4-2019"
360,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Cairn, Station Road, Carrigtwohill",12,"*N/A","","","","","","Q4-2020"
361,"SHIP CONSTRUCTION TURNKEY","Cork County","Glenbeg The Beeches, Boherbue",4,"*N/A","","","","","","Q4-2019"
362,"SHIP CONSTRUCTION TURNKEY","Cork County","Chapel Court, Skibbereen",3,"*N/A","","","","","","Q4-2019"
