"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1625,"SHIP CONSTRUCTION","Longford","Fairgreen View, Longford Town",1,"*N/A","","","","","","Q2-2021"
1626,"SHIP CONSTRUCTION","Longford","Cranleymore, Abbeylara",3,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1627,"SHIP CONSTRUCTION","Longford","Cloonahard, Edgeworthstown",1,"*N/A","","","","","","Q2-2021"
1628,"SHIP CONSTRUCTION","Longford","Woodlands Path, Keenagh",4,"*N/A","Stage 1 approved Q3-2021, outline design and costs being prepared.","","","","",""
1629,"SHIP CONSTRUCTION","Longford","Clough Dillons, Keenagh",4,"N/A","Stage 1 approved Q3-2021, outline design and costs being prepared.","","","","",""
1630,"CALF Turnkey","Longford","Cartrun Breac, Lisbrack Rd, Longford (Phase 1)",7,"Cl�id Housing","","","","","","Q1-2017"
1631,"CALF Construction","Longford","Colmcille Terrace, Granard, Co. Longford. (Phase 1)",21,"Tuath Housing Association","","","","Q2-2018","",""
1632,"SHIP CONSTRUCTION TURNKEY","Louth","Brabazon Hall, Termonfeckin, Drogheda",5,"*N/A","","","","","","Q4-2019"
1633,"SHIP CONSTRUCTION TURNKEY","Louth","�Gort Bui�, Ballymakenny Road, Drogheda",13,"*N/A","","","","","","Q4-2020"
1634,"SHIP CONSTRUCTION TURNKEY","Louth","Green Gates Manor, Haynestown, Dundalk",44,"*N/A","","","","","","Q2-2020"
1635,"SHIP CONSTRUCTION TURNKEY","Louth","Wadman Park, Haynestown, Dundalk",16,"*N/A","","","","","","Q3-2020"
1636,"SHIP CONSTRUCTION TURNKEY","Louth","�Gort Bui�, Ballymakenny Road, Drogheda",9,"*N/A","","","","","","Q4-2020"
1637,"SHIP CONSTRUCTION TURNKEY","Louth","�Gort Bui�, Ballymakenny Road, Drogheda",10,"*N/A","","","","","","Q1-2021"
1638,"SHIP CONSTRUCTION TURNKEY","Louth","�Gort Bui�, Ballymakenny Road, Drogheda",9,"*N/A","","","","","","Q2-2021"
1639,"SHIP CONSTRUCTION TURNKEY","Louth","�Gort Bui�, Ballymakenny Road, Drogheda",8,"*N/A","","","","","","Q2-2021"
1640,"SHIP CONSTRUCTION TURNKEY","Louth","Wadman Park, Haynestown, Dundalk",17,"*N/A","","","","","","Q4-2020"
1641,"SHIP CONSTRUCTION TURNKEY","Louth","Bridgegate Close, Bridgegate, Ardee",1,"*N/A","","","","","","Q4-2020"
1642,"SHIP CONSTRUCTION TURNKEY","Louth","Termon River, Termonfeckin",2,"*N/A","","","","","","Q4-2020"
1643,"SHIP CONSTRUCTION TURNKEY","Louth","Glyde View, Tallanstown",2,"*N/A","","","","","","Q2-2021"
1644,"SHIP CONSTRUCTION TURNKEY","Louth","Wadman Park, Haynestown, Dundalk",29,"*N/A","","","","","","Q4-2020"
1645,"SHIP CONSTRUCTION TURNKEY","Louth","Termon River, Termonfeckin",1,"*N/A","","","","","Q1-2018",""
1646,"SHIP CONSTRUCTION SINGLE STAGE","Louth","55/57 Bothar Brugha, Drogheda",3,"*N/A","","","","","","Q4-2017"
1647,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 2",4,"*N/A","","","","","","Q1-2018"
1648,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 1",7,"*N/A","","","","","","Q4-2016"
1649,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 1",5,"*N/A","","","","","","Q2-2017"
1650,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 1",3,"*N/A","","","","","","Q3-2017"
1651,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 1",7,"*N/A","","","","","","Q4-2017"
1652,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 1",1,"*N/A","","","","","","Q3-2018"
1653,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 2",1,"*N/A","","","","","","Q3-2018"
1654,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 2",2,"*N/A","","","","","","Q4-2019"
